"Marca","Codigo De Material SAP","Descripción Del Material SAP","Cod GENERICO","Txt GENERICO","Cod Grupo Artículo","descolorrgb","desdescubremas001","desdescubremas002","desdescubremas003","codcategoriawebredes","desimagen001","desimagen002","desimagen003","desimagen004","despaso001","despaso002","despaso003","despaso004","desperfumista001","desperfumista002","destip001","destip002","destip003","destip004","deswebredes","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","desnombrecategoriawebredes","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombreproductowebredes","despalabrasclave","desresumen","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","destituloperfumista001","destituloperfumista002","destitulotip001","destitulotip002","destitulotip003","destitulotip004"
"L'BEL","200073557","LB ESS DEMQ CC 125 ML","","","Tratamiento Facial","","Al desmaquillarte, evitas la aparición de granitos, infecciones y el envejecimiento prematuro de la piel. Essential es la forma más fácil y rápida de remover el maquillaje sin dejar residuos grasos. Además, es perfecta para cualquier edad.","Retira el maquillaje de tu rostro, elimina impurezas, hidrata y brinda suavidad a tu piel.","Contine un potente activo antioxidante que detoxifica la piel, devolviéndole con el tiempo un manto de suavidad extrema. Además está enriquecido con provitamina B5 que brinda protección y fortalecimiento a tus pestañas evitando su caída.","lbel-0101","","","","","","","","","","","Agita la loción para unir las dos fases.","En un algodón o pad, aplica el desmaquillador Essential.","Con mucho cuidado, retira el maquillaje de tu rostro y ojos llevando el algodón de adentro hacia afuera.","","La forma más fácil de eliminar tu maquillaje todos los días. La Loción Desmaquilladora Essential es una fórmula que elimina de forma suave todo tipo de maquillaje e impurezas. Cuenta con una acción antioxidante que ayuda a mantener la piel suave y con un aspecto más saludable.","","","","","","Limpiadoras y desmaquilladoras","","","","","Desmaquillador Essential para Ojos y Rostro","","Loción Desmaquilladora Hidratante para Ojos y Rostro (am-pm). 125 ml e 4.2 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200073558","LB ESS DEMQ CC 45 ML","","","Tratamiento Facial","","Al desmaquillarte, evitas la aparición de granitos, infecciones y el envejecimiento prematuro de la piel. Essential es la forma más fácil y rápida de remover el maquillaje sin dejar residuos grasos. Además, es perfecta para cualquier edad.","Retira el maquillaje de tu rostro, elimina impurezas, hidrata y brinda suavidad a tu piel.","Contine un potente activo antioxidante que detoxifica la piel, devolviéndole con el tiempo un manto de suavidad extrema. Además está enriquecido con provitamina B5 que brinda protección y fortalecimiento a tus pestañas evitando su caída.","lbel-010112","","","","","Agita la loción para unir las dos fases.","En un algodón o pad, aplica el desmaquillador Essential.","Con mucho cuidado, retira el maquillaje de tu rostro y ojos llevando el algodón de adentro hacia afuera.","","","","","","","","La forma más fácil de eliminar tu maquillaje todos los días. La Loción Desmaquilladora Essential es una fórmula que elimina de forma suave todo tipo de maquillaje e impurezas. Cuenta con una acción antioxidante que ayuda a mantener la piel suave y con un aspecto más saludable.","","","","","","Essential","","","","","Desmaquillador Essential para Ojos y Rostro","","Loción Desmaquilladora Hidratante para Ojos y Rostro (am-pm). 45 ml e 4.2 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"L'BEL","200074830","LB HCA LIMP AGUA M 90 ML","","","Tratamiento Facial","","Porque es 2 en 1, no necesita enjuagar lo que la hace muy práctica, se recomienda a aquellas mujeres que no están habituadas a una rutina facial y quieren empezar a cuidar su piel.","Disminuye la tirantes y descamaciónn de la piel. Contiene micelas que actúan como emulsionantes que capturan la grasa, partículas sólidas o impurezas y las disuelve o remueve.","Parte de su composición es el agua micelar, un agua purificadora con moléculas en forma de micelas . Estas funcionan como un equipo de limpieza que recoge las impurezas y grasas que encuentra sobre la piel y ayuda a eliminarlas al instante.","lbel-0101","","","","","","","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche.","Aplícala sobre el rostro con suaves movimientos circulares ascendentes.","No es necesario enjuagar.","","Solución Micelar limpiadora y tónica facial para todo tipo de piel. Disfruta de un cutis fresco e hidratado. Hydra Calme limpia, tonifica y refresca tu cutis, sin necesidad de enjuague en una sola aplicación.","","","","","","Limpiadoras y desmaquilladoras","","","","","Solución micelar Hydra calme","","90 ml.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200074841","LB ESSENT LIMP NS 180 ML","","","Tratamiento Facial","","La sensación de suavidad y humectación de tu rostro es increíble.","Su fórmula limpia la delicada piel de tu rostro sin dejar rastro de tirantez o sequedad.","Contiene extracto de Flor de Pivoine con propiedades curativas, suavizantes e hidratantes, y Dulcemín, proteínas de almendra que brindan suavidad.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche, después de limpiar tu rostro con Essential Limpiadora para cutis normal a seco.","Humedece una motita de algodón con Essential.","Con el rostro limpio y seco desliza suavemente el algodón de adentro hacia afuera. Aplica la loción por todo el rostro, menos en el contorno de ojos.","","","","Es de uso diario, puedes aplicarla dos veces al día: mañaana y noche. Después de Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","<lt/>span style="color: #808080; font-family: &quot;Open Sans&quot;, Helvetica, Arial, sans-serif; font-size: 12px; text-align: center;"<gt/>Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.<lt/>/span<gt/>","","Dale a tu rostro el cuidado que merece con la loción que ayuda a mantener el nivel de hidratación y suavidad en la piel gracias al extracto de flor de Pivoine. Sus propiedades hidratantes y proteínas de almendras le brindan a tu piel una suavidad única.","","","","","","Essential","","","","","Essential Limpiadora Cutis Normal a Seco","","Loción limpiadora hidratante suavizante para cutis normal a seco. 180 ml e 6 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200074844","LB ESSENTIAL LIMP CG 180 ML","","","Tratamiento Facial","","Fómula especialmente diseñada para limpiar y controlar el exceso de grasa y brillo en tu rostro . Es ideal para cualquier edad.","Le da un aspecto mate a tu rostro, sin brillo y sin los molestos poros abiertos durante el día. Propiedades astringentes y limpiadoras que ayudan a controlar el brillo del rostro","Contiene extracto de Flor de Aubepine que limpia mientras controla el brillo de tu piel y Ecodermine3, derivados de azúcares que evitan el exceso de grasa y brillo.","lbel-010112","","","","","Mezcla en tu mano una pequeña cantidad de espuma con un poco de agua.","Espárcela por tu rostro con suaves masajes circulares (evita la zona de los ojos).","Enjuagar con abundante agua.","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche. Después de Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.","","Luce una piel sin brillo todos los días. Essential limpia y matifica tu rostro cerrando los poros y reduciendo el brillo.","","","","","","Essential","","","","","Essential Limpiadora Cutis Graso","","Espuma limpiadora y purificadora que controla el exceso de grasa y brillo en tu rostro. 180 ml e 6 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200074847","LB HCA LIMP AGUA M 180 ML","","","Tratamiento Facial","","Porque es 2 en 1, no necesita enjuagar lo que la hace muy práctica, se recomienda a aquellas mujeres que no están habituadas a una rutina facial y quieren empezar a cuidar su piel.","Disminuye la tirantes y descamación de la piel. Contiene micelas que actúan como emulsionantes que capturan la grasa, partículas sólidas o impurezas y las disuelve o remueve.","Parte de su composición es el agua micelar, un agua purificadora con moléculas en forma de micelas . Estas funcionan como un equipo de limpieza que recoge las impurezas y grasas que encuentra sobre la piel y ayuda a eliminarlas al instante.","lbel-0101","","","","","","","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche.","Aplícala sobre el rostro con suaves movimientos circulares ascendentes.","No es necesario enjuagar.","","Disfruta de un cutis fresco e hidratado. Hydra Calme limpia, tonifica y refresca tu cutis, sin necesidad de enjuague en una sola aplicación.","","","","","","Limpiadoras y desmaquilladoras","","","","","Solución micelar Hydra calme","","Solución Micelar limpiadora y tónica facial para todo tipo de piel. 180ml e 6 fl.oz","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","","","","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200077159","LB ESSENT LIM EX NG 180ML","","","Tratamiento Facial","","Tiene un doble efecto que conoce a la perfección tu piel. Matifica la piel grasa eliminando el brillo en la zona "T" e hidrata la piel seca de tu rostro. Además pueden usarla mujeres de toda edad.","Sus propiedades limpiadoras, refrescantes y astringentes ayudan a eliminar células muertas y a devolverle el equilibrio a la piel de tu rostro.","Contiene extracto de Flor de Pensée y Normaseb que ayuda a tu piel a estar equilibrada y libre de impurezas.","lbel-010112","","","","","Aplica la limpiadora sobre la piel del rostro, evitando la zona de los ojos.","Da suaves masajes en mociones circulares por un minuto.","Enjuaga tu rostro con abundante agua.","","","","Es de uso diario, puedes aplicarla dos veces al día: mañaana y noche. Después de Essential Limpiadora para tu tipo de piel.","Humedece una motita de algodón con Essential loción tónica.","<lt/>span style="color: #808080; font-family: &quot;Open Sans&quot;, Helvetica, Arial, sans-serif; font-size: 12px; text-align: center;"<gt/>Con el rostro limpio y seco date suaves golpecitos ascendentes. No lo apliques en la zona cercana a ojos y labios.<lt/>/span<gt/>","","Devuélvele el equilibrio a tu piel, controla el exceso de grasa y brillo. Limpia y matifica en zonas grasas y humecta tu cutis en zonas secas. Perfección en un solo producto.","","","","","","Essential","","","","","Essential Limpiadora Exfoliante Cutis Normal a Graso","","Crema limpiadora exfoliante que equilibra y controla la grasa en tu piel para cutis normal a graso. 180 ml e 6 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","PASO UNO","PASO DOS","PASO TRES",""
"L'BEL","200086105","LB ESSENTIAL MICELAR 45 ML","","","Tratamiento Facial","","Porque limpia y tonifica el rostro en menos tiempo y adema´s esta´ enriquecida con extractos de manzanilla y avena, delicados ingredientes que refrescan la piel brindando bienestar y confort.","Es 2 en 1, limpia y tonifica tu piel en un solo paso removiendo las impurezas y se adapta a pieles sensibles.","Es un agua purificadora con mole´culas en forma de micelas que recogen las impurezas y grasas que encuentra sobre tu piel, elimina´ndolas inmediatamente. No necesita enjuagar y no deja residuos grasos.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche.","Aplícala sobre el rostro con suaves movimientos circulares ascendentes. No es necesario enjuagar.","Complementa tu rutina hidratando y nutriendo tu piel","","","","","","","","Disfruta de un cutis fresco e hidratado. El Agua Micelar Essential limpia, tonifica y refresca tu cutis, sin necesidad de enjuague en una sola aplicación.","","","","","","Essential","","","","","Essential Locion micelar 2 en 1 - Limpiadora y tónica","","Solucio´n Micelar Limpiadora y To´nica Facial. 45 ml e 6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"L'BEL","200086106","LB ESSENTIAL MICELAR 90 ML","","","Tratamiento Facial","","Porque limpia y tonifica el rostro en menos tiempo y adema´s esta´ enriquecida con extractos de manzanilla y avena, delicados ingredientes que refrescan la piel brindando bienestar y confort.","Es 2 en 1, limpia y tonifica tu piel en un solo paso removiendo las impurezas y se adapta a pieles sensibles.","Es un agua purificadora con mole´culas en forma de micelas que recogen las impurezas y grasas que encuentra sobre tu piel, elimina´ndolas inmediatamente. No necesita enjuagar y no deja residuos grasos.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche.","Aplícala sobre el rostro con suaves movimientos circulares ascendentes. No es necesario enjuagar.","Complementa tu rutina hidratando y nutriendo tu piel","","","","","","","","Disfruta de un cutis fresco e hidratado. El Agua Micelar Essential limpia, tonifica y refresca tu cutis, sin necesidad de enjuague en una sola aplicación.","","","","","","Essential","","","","","Essential Locion micelar 2 en 1 - Limpiadora y tónica","","Solucio´n Micelar Limpiadora y To´nica Facial. 90 ml e 6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"L'BEL","200086107","LB ESSENTIAL MICELAR 180 ML","","","Tratamiento Facial","","Porque limpia y tonifica el rostro en menos tiempo y adema´s esta´ enriquecida con extractos de manzanilla y avena, delicados ingredientes que refrescan la piel brindando bienestar y confort.","Es 2 en 1, limpia y tonifica tu piel en un solo paso removiendo las impurezas y se adapta a pieles sensibles.","Es un agua purificadora con mole´culas en forma de micelas que recogen las impurezas y grasas que encuentra sobre tu piel, elimina´ndolas inmediatamente. No necesita enjuagar y no deja residuos grasos.","lbel-010112","","","","","Es de uso diario, puedes aplicarla dos veces al día: mañana y noche.","Aplícala sobre el rostro con suaves movimientos circulares ascendentes. No es necesario enjuagar.","Complementa tu rutina hidratando y nutriendo tu piel","","","","","","","","Disfruta de un cutis fresco e hidratado. El Agua Micelar Essential limpia, tonifica y refresca tu cutis, sin necesidad de enjuague en una sola aplicación.","","","","","","Essential","","","","","Essential Loción micelar 2 en 1","","Solución Micelar Limpiadora y Tónica Facial. 180 ml e 6 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"ESIKA","200088613","ES REN ADVAN LIMP 3EN1 150ML","","","Tratamiento Facial","","Libera las toxinas de tu rostro y la prepara para recibir y absorber de la mejor manera los activos del tratamiento antiedad.","Limpia las impurezas de la contaminación diaria, retira los residuos de maquillaje y previene los signos del envejecimiento. Además tonifica e hidrata tu piel.","Su fórmula con la última generación en limpiadoras "Détox" hace que las impurezas se eliminen eficazmente de la piel de tu rostro.","esika-030101","","","","","Por la mañana después del baño, aplica la limpiadora con masajes circulares hasta que absorba, sin enjuague.","Por las noches, con ayuda de un algodón aplicar mediante masajes circulares y retirar con abundante agua.","","","","","","","","","Dale a tu piel lo mejor. Renacer Advanced Limpiadora es el primer paso para una rutina antiedad completa. Limpia tu rostro con su acción antioxidante que remueve eficazmente las impurezas, tonificando e hidratando tu piel.","","","","","","Renacer","","","","","Renacer Advanced Limpiadora Detox","","Crema/leche limpiadora y tonificante facial, con acción antioxidante 150ml","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","Paso 1","Paso 2","","","","","","","",""
"ESIKA","200089487","ES DEMAQ BIFAS 125 ML","","","Tratamiento Facial","","¡Elimina rápidamente el maquillaje de tu día a día sin dejar algún rastro de grasa en tu piel!","Remueve el maquillaje de tu piel, incluso el de larga, duración dejando tu piel hidratada y suave.","Su fórmula con emolientes, vitamínas y proteínas, elimina el maquillaje de larga duración, deja la piel hidratada y protege la caída de las pestañas.","esika-010507","","","","","Agitar hasta mezclar las dos fases.","Humedecer un algodón o pañito y deslizarlo suavemente por el rostro, párpados y labios hasta retirar completamente el maquillaje.","","","","","","","","","Tu piel merece lo mejor. Retira el maquillaje de tu rostro con una fórmula bifásica que suaviza e hidrata tu rostro. Un desmaquillador 100% libre de grasa.","","","","","","Limpiadoras y Desmaquilladores","","","","","Desmaquillador Bifásico","","Desmaquillador para rostro, ojos y labios 125 ml / 4.2 fl.oz.","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","Paso 1","Paso 2","","","","","","","",""
"L'BEL","200050939","LIASSON LOC PERF 160 ML LBEL","","","Tratamiento Corporal","","Un sofisticado bouquet floral para un aroma que siempre se distinguirá del resto. Con un corazón donde destacan notas del Lirio de Valle e Iris, acompañado por un fondo de preciadas maderas y especias.","Humecta tu piel y prolonga el olor del tu perfume favorito.","Su aroma floral se impregnará en tu piel haciendo que el perfume dure mucho más.","lbel-040201","","","","","Perfumación por capas: Aplica la loción perfumada en toda tu piel.","Aplica el perfume Liasson.","El aroma se fijará en tu piel poco a poco haciendo que dure mucho más","","","","","","","","La fragancia para la mujer elegante y sofisticada, segura de sí misma, emprendedora y chic. Una mujer que ama la cultura, el arte y el lujo en todas sus expresiones. Ella le es fiel a sus lujos y los disfruta a su alrededor.","","","","","","Lociones Corporales","","","","","Loción Perfumada Liasson","","Loción Perfumada 160 ml e 5.4 fl.oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO 1","PASO 2","PASO 3","","","","","","",""
"ESIKA","200056813","ES SEDA & ORO HUM 210 ML","","","Tratamiento Corporal","","Te deja un lindo brillo dorado en la piel y suaviza tu piel profundamente.","Te brinda un baño dorado en la piel. La hidrata profundamente para dejarla suave como una seda y luminosa como las perlas.","Contiene microperlas doradas, vitamina E y suavizantes que ayudan a que tu piel esté suave e hidratada.","esika-0401","","","","","","","","","","","","","","","Disfruta de una deliciosa fragancia floral con notas frescas de frutos verdes y pétalos suaves de lirio y flores blancas que te dejan tu piel suave y luminosa.","","","","","","Cuidado Corporal","","","","","Loción Luminosa Seda y Oro","","Loción luminosa 210 ml / 7 fl.oz.","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","","","","","","","","","",""
"ESIKA","200058539","ENCANTO DE PERLAS LOC 210ML","","","Tratamiento Corporal","","Amamos su delicada fragancia floral con notas suaves, sedosas y radiantes provenientes de flores blancas, ylang y ylang e iris que te relajan en cada aplicación.","Disfruta de un brillo de perlas en tu piel y de una profunda hidratación. Deja tu piel suave como la seda y luminosa como la perla.","Contiene microperlas luminosas y vitamina E que te brinda humectación, luminosidad y protección en la piel.","esika-0401","","","","","","","","","","","","","","","Luce una piel luminosa suave y disfruta de una provocativa fragancia con la loción Encanto de Perlas que humecta y deja la piel con brillos perlados.","","","","","","Cuidado Corporal","","","","","Loción Luminosa Encanto de Perlas","","Loción luminosa 210 ml / 7 fl.oz.","","","","","","¿Por qué nos encanta?","¿Qué hace?","¿Cómo funciona?","","","","","","","","","","",""
"L'BEL","200061181","LB DELPLCOR MANOS AL 75 ML","","","Tratamiento Corporal","","Brinda suavidad al instante para tus manos con un aroma suave y delicado.","Sus aceites de almendra y nuez de macadamia ayudan a reparar la piel y protegen contra la resequedad.Envuelve tus manos en una experiencia única de hidratación, suavidad y frescura con un exquisito aroma a almendras.","Debido a su alto contenido de Ácido linoleico y oleico, el aceite de almendro  ayuda a hidratar, ya que devuelve los lípidos perdidos impidiendo la pérdida de agua. Además, deja una película de aceite sobre la piel brindando hidratación y suavizándola.","lbel-040202","","","","","Aplica una pequeña cantidad de crema en el dorso de tus manos, sobre la piel limpia y seca.","Extiéndela con suaves masajes hasta su total absorción.","Relájate y disfruta este momento al máximo.","","","","","","","","Mantén tus manos siempre suaves y humectadas con un deliciosa aroma. Una experiencia que vas a disfrutar a cada instante, suavidad al momento para una manos perfectas y humectadas. Puedes llevar la crema hidratante siempre contigo en tu bolso, úsala todos los días.","","","","","","Cremas de manos","","","","","Crema para Manos Délice Óleo de Almendras","","Crema hidratante intensiva para manos con aceite de almendra. 75 ml e 2.5 fl. oz.","","","","","","¿POR QUÉ NOS ENCANTA?","¿QUÉ HACE?","¿CÓMO FUNCIONA?","","PASO UNO","PASO DOS","PASO TRES","","","","","","",""
