"grupodeatributos","codsap","desnombrecategoriawebredes","codcategoriawebredes","desnombreproductowebredes","desresumen","deswebredes","destitulodescubremas001","destitulodescubremas002","destitulodescubremas003","desdescubremas001","desdescubremas002","desdescubremas003","destitulotip001","destitulotip002","destitulotip003","destitulotip004","destip001","destip002","destip003","destip004","desimagen001","desimagen002","desimagen003","desimagen004","destextovideo001","destextovideo002","destextovideo003","destextovideo004","destextovideo005","desnombrearchivovideo001","desnombrearchivovideo002","desnombrearchivovideo003","desnombrearchivovideo004","desnombrearchivovideo005","deslinkvideo001","deslinkvideo002","deslinkvideo003","deslinkvideo004","deslinkvideo005","descolorrgb","despalabrasclave","destituloperfumista001","destituloperfumista002","desperfumista001","desperfumista002","destitulogeneralpasoapaso","destitulopaso001","destitulopaso002","destitulopaso003","destitulopaso004","despaso001","despaso002","despaso003","despaso004","desvarianttype","desdefaultvariant"
"WebRedes","210046250","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","","QA","QA","QA","QA","QA","QA","QA","QA","QA","","","","","","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","",""
"WebRedes","210082141","GAFAS","ESIKA-001","Gafas CAB LENTE m","lentes para el espíritu playero","lentes para el espíritu playero este verano","traslucido","oscuro","playa","traslucido","oscuro","playa","tst bdi","tst bdi","tst bdi","tst bdi","tst bdi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210082144","127844","127844","127844","127844","127844","127844","127844","127844","127844","127844","127844","","","","","","","","QA","QA","QA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210082934","XX","X","A","A","A","A","A","A","A","A","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210082937",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","",".",".",".",".",".",".",".",".",".",".",".",".",".","http://.","http://.","http://..","","","","","","","","","","","","","","","","","","",""
"WebRedes","210083959","labiales","LAB01","ESIKA ACC CAREY GLASS DAM á ","RESUMEN DE ESIKA","una descripción larga"," Titulo Descubre mas 1","Titulo Descubre mas 2","Titulo Descubre mas 3","Contenido Descripcion Descubre mas 1","Contenido Descripcion Descubre mas 2","Contenido Descripcion Descubre mas 3","Titulo Tip 1","Titulo Tip 2","Titulo Tip 3","Titulo Tip 4","Descripcion Tip 1","Descripcion Tip 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210083960","esika-01","esika-01","lentes-prueba","lentes-resumen","lentes-resumen-2","Titulo Descubre mas 1","Titulo Descubre mas 2","Titulo Descubre mas 3","Contenido Descripcion Descubre mas 1","Contenido Descripcion Descubre mas 2","Contenido Descripcion Descubre mas 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210083961","Nombre Categoría Web/Redes (menor nivel","Código Categoría Web/Redes (menor ","Nombre Producto Web/Redes","Resumen de Pdto (Descripcion corta"," Descripción larga de Pdto Web/Redes "," Titulo Descubre mas 1   * "," Titulo Descubre mas 2   * "," Titulo Descubre mas 3   * Titulo Descubre mas 3   * ","Contenido Descripcion Descubre mas 1","Contenido Descripcion Descubre mas 2","Contenido Descripcion Descubre mas 3","Titulo Tip 1","Titulo Tip 1","Titulo Tip 3","Titulo Tip 4","Descripcion Tip 1","Descripcion Tip 2","Descripcion Tip 3","Descripcion Tip 4","Descripcion Imagen 1","Descripcion Imagen 2","Descripcion Imagen 3","Descripcion Imagen 4","Texto de Video 1","Texto de Video 1","Texto de Video 3","Texto de Video 4","Texto de Video 5","Nombre del Archivo video 1","Nombre del Archivo video 2","Nombre del Archivo video 3","Nombre del Archivo video 4","Nombre del Archivo video 5","http://Link Video 1","http://Link Video 2","http://Link Video 3","http://Link Video 4","http://Link Video 5","Color RGB",".",".",".",".",".",".",".",".",".",".",".",".",".",".","",""
"WebRedes","210083963","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","QA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WebRedes","210084396","dumi","dumi","dumi","dumi","dumi","dumi","dumi","dumi","dumi","dumi","dumi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dumi","dumi","",""
