"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210093311","ES PRO BROCHA CORRECTOR 1 UN","UNI","P0210161013","0106","Accesor. Cosméticos","Cosmeticos","02010600030002","02","ESIKA","0106","ACCESORIOS COSMETICOS","0003","MAQUILLAJE","0002","BROCHAS","","","","","","","","","","ESIKA","ESIKA","1611051999999","ACCESORIOS COSMETICOS/MAQUILLAJE/VARIOS/VARIOS","11","ACCESORIOS COSMETICOS","051","MAQUILLAJE","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","Accesorios","","","","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093312","ES PRO BROCHA OJOS DUAL 1 UN","UNI","P0210161015","0106","Accesor. Cosméticos","Cosmeticos","02010600030002","02","ESIKA","0106","ACCESORIOS COSMETICOS","0003","MAQUILLAJE","0002","BROCHAS","","","","","","","","","","ESIKA","ESIKA","1611051999999","ACCESORIOS COSMETICOS/MAQUILLAJE/VARIOS/VARIOS","11","ACCESORIOS COSMETICOS","051","MAQUILLAJE","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","Accesorios","","","","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093313","ES PRO BROCHA OJOS 1 UN","UNI","P0210161016","0106","Accesor. Cosméticos","Cosmeticos","02010600030002","02","ESIKA","0106","ACCESORIOS COSMETICOS","0003","MAQUILLAJE","0002","BROCHAS","","","","","","","","","","ESIKA","ESIKA","1611051999999","ACCESORIOS COSMETICOS/MAQUILLAJE/VARIOS/VARIOS","11","ACCESORIOS COSMETICOS","051","MAQUILLAJE","999","VARIOS","999","VARIOS","","","","","0.000","0.000","0.000","0.000","0.000","","","","Accesorios","","","","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093314","ES PRO ESPONJA 1 UN","UNI","P0210161017","0106","Accesor. Cosméticos","Cosmeticos","01010600030002","01","L'BEL","0106","ACCESORIOS COSMETICOS","0003","MAQUILLAJE","0002","BROCHAS","","","","","","","","","","ESIKA","ESIKA","1611051999999","ACCESORIOS COSMETICOS/MAQUILLAJE/VARIOS/VARIOS","11","ACCESORIOS COSMETICOS","051","MAQUILLAJE","999","VARIOS","999","VARIOS","","","","","40.000","40.000","94.400","7.700","59.000","MM","CM3","G","Accesorios","","","","","","","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093325","CY BOLSO FURRY DAYS T2","UNI","P0508250000","0302","Complem. de Vestir","Moda","030302","03","CYZONE","0302","COMPLEM. DE VESTIR","","","","","","","","","","","","","","CYZONE","CYZONE","3031523512500","COMPLEMENTOS/TIPO/CARTERA/BOLSO/SHOULDER BAG","31","COMPLEMENTOS","523","TIPO","512","CARTERA","500","BOLSO/SHOULDER BAG","","","","","220.000","65.000","3718.000","490.000","260.000","MM","CM3","G","Complementos","","","","","","","","","","","Femenino","","","","Bolsa/Cartera","","","","","","Ninguno","","","","","","","","Negro","","","","Sin Bolsillo","","","","","","Sin Estampado","","","Sin Asignar","","","","","","","","","N2","","","","Urbanwear","","","","","","","Shoulder Bag","","","","","Varios","","","","","Fijo",""
"SAP","210093317","ES0319 MOCHILA PANALE MOBY REA","UNI","P0602103481","0501","Promociones de 3ros","Apoyo","02050","02","ESIKA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","SIN LINEA EN PARTICULAR","SIN LINEA EN PARTICULAR","6072232557471","PROMOCION USUARIOS/COMPLEMENTOS/BLOQUE BEBE/MOCHILA","72","PROMOCION USUARIOS","232","COMPLEMENTOS","557","BLOQUE BEBE","471","MOCHILA","","","","","250.000","80.000","6800.000","480.000","340.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","210093332","CY CEPILLO ALISADOR CHARM EC","UNI","P0772901916","0401","Hogar","Hogar","030401","03","CYZONE","0401","HOGAR","","","","","","","","","","","","","","CYZONE","CYZONE","5134523508541","HOGAR/TIPO/BELLEZA Y SALUD/PLANCHA","34","HOGAR","523","TIPO","508","BELLEZA Y SALUD","541","PLANCHA","","","","","95.000","280.000","1463.000","305.000","55.000","MM","CM3","G","Hogar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042394","LICUADORA RECO C07/2019","UNI","P0976267032","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410.000","600.000","179580.000","10000.000","730.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042395","REGALIA L'ECLAT CR","UNI","P0976267033","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100.000","1400.000","29.400","0.100","0.010","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042396","REGALIA LOCION L'ECLAT CR","UNI","P0976267034","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2100.000","1400.000","29.400","0.100","0.010","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
