"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","210090293","FI KUNIS BLONDE PEN","UNI","P0591344101","020101","Aretes","Accesorios","020201","02","ESIKA","0201","BIJOUTERIE","","","","","","","","","","","","","","ESIKA ACCESORIOS","ESIKA ACCESORIOS","2021165500405","BIJOUTERIE/DAMAS/PENDIENTES/ORO CON CUENTAS/PIEDRAS","21","BIJOUTERIE","165","DAMAS","500","PENDIENTES","405","ORO CON CUENTAS/PIEDRAS","","","","","86.000","61.000","141.642","25.720","27.000","MM","CM3","G","Bijouterie","","","","","","","","","","","Femenino","","","","Aretes","","","Brillante","","","","","Estuche Coleccion","","","","","","Transparente","","","","","","","","","","","","","","","","","","Cristales","Ninguno","","","","KUNIS BLONDE","","","","","","","Pasador Francés","Pendiente Largo","","","No Aplica","","","","Oro","","","","","","No"
"SAP","210093112","CY LONCHERA EAT FANCY T2","UNI","P0772901910","0401","Hogar","Hogar","030401","03","CYZONE","0401","HOGAR","","","","","","","","","","","","","","CYZONE","CYZONE","5134521056465","HOGAR/SET/ESTUCHES/LONCHERA","34","HOGAR","521","SET","056","ESTUCHES","465","LONCHERA","","","","","250.000","40.000","1900.000","7.000","190.000","MM","CM3","G","Hogar","","","","","","","","","","","Femenino","","","","Otros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ninguno","","","","","","","","","","Loncheras","","","","","","Solo Tela","","","","","",""
"SAP","210093113","CY COLGANTE SWEET CRUSH T2","UNI","P0772901914","0401","Hogar","Hogar","030401","03","CYZONE","0401","HOGAR","","","","","","","","","","","","","","CYZONE","CYZONE","5134521201482","HOGAR/SET/CARTERAS/ORGANIZADOR COLGANTE","34","HOGAR","521","SET","201","CARTERAS","482","ORGANIZADOR COLGANTE","","","","","200.000","80.000","560.000","28.000","35.000","MM","CM3","G","Hogar","","","","","","","","","","","Femenino","","","","Otros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ninguno","","","","","","","","","","Complementos","","","","","","Solo Tela","","","","","",""
"SAP","220042369","EQUIPO DE SONIDO  INCENT GZ","UNI","P0976267015","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286.000","324.000","55598.400","8400.000","600.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042370","FRIGOBAR INCENT GZ","UNI","P0976267016","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450.000","472.000","182664.000","21000.000","860.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042371","IMPRESORA EPSON INCENT GZ","UNI","P0976267017","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450.000","400.000","48600.000","7000.000","270.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042372","LAVADORA 12KG  INCENT C03","UNI","P0976267018","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","650.000","610.000","388570.000","23000.000","980.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042373","LAVAVAJILLAS 12 PCS INCENT GZ","UNI","P0976267019","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630.000","600.000","321300.000","24000.000","850.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042374","MICROONDAS 30 LT INCENT GZ","UNI","P0976267020","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420.000","300.000","67914.000","1600.000","539.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042375","PORTATIL  INCENT GZ","UNI","P0976267021","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2538.000","380.000","229536.720","1860.000","238.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042376","SAMSUNG S9 INCENT GZ","UNI","P0976267022","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.000","687.000","86249.415","163.000","1477.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042377","SECADORA 17 KG   INCENT GZ","UNI","P0976267023","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","787.000","685.000","530469.480","5500.000","984.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042378","AIRE AC 18000 BTU  INCENT GZ","UNI","P0976267024","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290.000","760.000","130036.000","9000.000","590.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042379","AIRE AC 9000 BTU  INCENT GZ","UNI","P0976267025","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.000","680.000","37400.000","7000.000","250.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042380","MOCHILA BURGUNDY L'BEL","UNI","P0976267026","0502","Incentivos","Apoyo","01050","01","L'BEL","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.000","12.500","8625.000","750.000","30.000","CM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042381","AIRE AC 12000 BTU  INCENT GZ","UNI","P0976267027","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.000","680.000","37400.000","7000.000","250.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042382","C-MARA NIKON  INCENT GZ","UNI","P0976267028","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755.000","124.000","9174.760","3000.000","98.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","220042383","RESPALDO PARA CAMA  INCENT GZ","UNI","P0976267029","0502","Incentivos","Apoyo","99050","99","GENERICA","050","NEGOCIOS DE APOYO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150.000","1400.000","252000.000","35000.000","1200.000","MM","CM3","G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
