"Origen Atributos","codsap","desproductosap","unidadmedidabase","codproducto","codgrupoarticulo","desgrupoarticulo","codunidadnegocio","codjerq01","codmarca","desmarca","codigonegocio","desnegocio","codatributo1","desatributo1","codatributo2","desatributo2","codatributo3","desatributo3","peticionborrado","tipoean","codean13","codcuc","descripcioncuc","codcuctono","descripcioncuctono","codlinea","deslinea","codjerq02","desjerq02","codcategoria","descategoria","codsubcategoria","dessubcategoria","codtipo","destipo","codsubtipo","dessubtipo","codproductogenerico","desproductogenerico","codproductosupergenerico","desproductosupergenerico","largo","ancho","volumen","pesobruto","alto","unidadlongitud","unidadvolumen","unidadpeso","codclasemkt","aplicacionlugaruso","beneficio","descaracteristicabulk","edadobjetivo","familiafragancia","gama","grupoproductoac","mercado","presentacionenvase","sexo","sexoedadobjetivo","teoriacolor","tipoestuche","tipopielcabello","tipoproducto","contenidoneto","umcontenido","acabadoaccessorios","acabadocajareloj","acabadoluna","adicional","caracteristicastirasasas","caracteristicasbijouterie","cierrecomplementos","clasificacionproductos","colorcorrea","colorluna","colormarco","colortono","colortonocajareloj","detallecaja","detalleespecifi","detalleproducto","detallesuela","detallebrazo","detallemarcolentes","dialacabado","colorreloj","disenocomplementos","tipoestampado","estiloaccesorio","estiloropa","formacaja","grosorbrazo","grupoproductoshogar","insumocajareloj","insumomaterialprimario","insumocomplementario","materialcajareloj","modelolentes","niveles","nombregenericoaccesorio","nombregenerico","ocasionusoaccesorio","ocasionusoropa","origenaccesorio","tipoplaneacion","posicionamiento","presentacionforma","rotulosfila","subtipoprodhogar","subtipoprodcomplementos","tallatamano","tema","tematico","tipoluna","tipomaterial","tipomaterialropacalzado","tipomaterialbrazolente","tipotirasasas","tipologiareloj","tirasasas","versatilidad"
"SAP","200100068","CY DEL PINCEL BLACK 4 EVER","UNI","P0197107013","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107003","CY DEL CC LINE4EVER PINC 3ML","","","15.000","15.000","20.475","20.475","91.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100069","CY DEL PINCEL BROWN 4 EVER","UNI","P0197107023","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107003","CY DEL CC LINE4EVER PINC 3ML","","","15.000","15.000","20.475","20.475","91.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100070","CY DEL PLUMON BLACK 4 EVER","UNI","P0197107015","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107005","CY DEL CC LINE4EVER PLU 3ML","","","15.000","15.000","20.475","20.475","91.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100071","CY DEL PLUMON BROWN 4 EVER","UNI","P0197107025","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107005","CY DEL CC LINE4EVER PLU 3ML","","","15.000","15.000","20.475","20.475","91.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100072","CY DEL PINC BLACK 4 EVER PR","UNI","P0197107014","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107004","CY DEL CC LINE4EVER PIN PR 3","","","15.000","15.000","18.675","18.675","83.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100073","CY DEL PINC BROWN 4 EVER PR","UNI","P0197107024","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107004","CY DEL CC LINE4EVER PIN PR 3","","","15.000","15.000","18.675","18.675","83.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100074","CY DEL PLUM BLACK 4 EVER PR","UNI","P0197107016","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107006","CY DEL CC LINE4EVER PL PR 3ML","","","15.000","15.000","18.675","18.675","83.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100075","CY DEL PLUM BROWN 4 EVER PR","UNI","P0197107026","0102","Maquillaje","Cosmeticos","030102000500060001","03","CYZONE","0102","MAQUILLAJE","0005","OJOS / PARPADOS / CEJAS","0006","DELINEADOR OJOS / CEJAS","0001","FEMENINO","","","","","","","","CY","CY","1202037086027","MAQUILLAJE/PARA OJOS/DELINEADOR OJOS/LIQUIDO","02","MAQUILLAJE","037","PARA OJOS","086","DELINEADOR OJOS","027","LIQUIDO","P0197107006","CY DEL CC LINE4EVER PL PR 3ML","","","15.000","15.000","18.675","18.675","83.000","MM","CM3","G","Maquillaje","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100067","LB FLK LE TEMPO MINI 10 ML","UNI","P0128015058","0101","Fragancias","Cosmeticos","01010100020003","01","L'BEL","0101","FRAGANCIAS","0002","MASCULINO","0003","COLONIA Y/O EAU DE TOILETTE","","","","","","","","","","DOMINE","FLK LE TEMPO","1101166001190","FRAGANCIAS/CABALLEROS/COLONIA Y O EAU DE TOILETE/SIN SPRAY","01","FRAGANCIAS","166","CABALLEROS","001","COLONIA Y O EAU DE TOILETE","190","SIN SPRAY","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Fragancias","","Amor Maternal","Liquido C/Alcohol","","Aromatica Acuosa","","","Colonia Masculinas","Frasco C/Spray","Masculino","","","Sin Asignar","","Colonia Y/O Eau De Toilette","10.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAP","200100077","ES PARA CASCA ILLU COL 60ML","UNI","P0153025004","0101","Fragancias","Cosmeticos","02010100010002","02","ESIKA","0101","FRAGANCIAS","0001","FEMENINO","0002","COLONIA DE BA�O","","","","","","","","","","PARADISSO CASCADE IL","PARADISSO CASCADE ILLUSION","1101003013079","FRAGANCIAS/FAMILIAR BA#O/COLONIA DE BA#O/CON SPRAY","01","FRAGANCIAS","003","FAMILIAR BA#O","013","COLONIA DE BA#O","079","CON SPRAY","","","","","0.000","0.000","0.000","0.000","0.000","MM","CM3","G","Fragancias","","Sin Asignar","Liquido C/Alcohol","","Floral Frutal","","","Colonia De Baño","Frasco C/Spray","Femenino","","","Sin Asignar","","Colonia De Baño","60.0","Ml","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
