"GrupoDeAtributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","200089004","",".",".","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200073521","Concentré Total Ojos","Concentrado Global para Ojos en Crema Gel","LB CONCE TO CR YEUX 15 G","15 g e .52 oz.","15 g",".52 oz.",".52 oz.","","","Concentrado Global para Ojos en Crema Gel","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200075958","Lederm Día 35+","Tratamiento Facial contra los Primeros Signos de la Edad Crema Día FPS 15","LB LEDERM CR 35 DÍAS 50 ML","50 ml e 1.6 fl. oz.","50 ml","1.6 fl. oz.","1.6 fl. oz.","","","Tratamiento Facial contra los Primeros Signos de la Edad Crema Día FPS 15","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200075992","Lederm Día 35+","Tratamiento Facial contra los Primeros Signos de la Edad Crema Día FPS 15","LB LEDERM CR 35 DÍAG 50 ML","50 ml e 1.6 fl. oz.","50 ml","1.6 fl. oz.","1.6 fl. oz.","","","Tratamiento Facial contra los Primeros Signos de la Edad Crema Día FPS 15","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200076066","Lederm Día 55+","Tratamiento Facial contra Signos Avanzados de la Edad Crema Día FPS 15","LB LEDERM CR 55 DÍA 50 ML","50 ml e 1.6 fl. oz.","50 ml","1.6 fl. oz.","1.6 fl. oz.","","","Tratamiento Facial contra Signos Avanzados de la Edad Crema Día FPS 15","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200077182","Hydra Calme","Gel para Contorno de Ojos Hidratante y Refrescante","LB HYDRA CALME OJOS 15 ML","15 ml e .50 fl. oz.","15 ml",".50 fl. oz.",".50 fl. oz.","","","Gel para Contorno de Ojos Hidratante y Refrescante","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200081435","Lederm 55+","LB LEDERM KIT 55+ AM PM 2 UN","LB LEDERM KIT 55+ AM PM 2 UN","","","LBEL COLOMBIA","","","","LB LEDERM KIT 55+ AM PM 2 UN","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200082170","L'Bel Nocturne Sérum","Sérum Activador Nocturno para el Rostro","LB SUE LBEL LOC 30 ML","30 ml e 1 fl. oz.","30 ml","1 fl. oz.","1 fl. oz.","","","Sérum Activador Nocturno para el Rostro","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200083602","Concentré Total","Concentrado Global para Rostro en Crema*","LB CONCE TO CR E.ESPECIAL 50 G","50 g e 1.7 oz.","50 g","1.7 oz.","1.7 oz.","","","Concentrado Global para Rostro en Crema*","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200083963","Essential","Crema Facial Alta Hidratación Efecto Oxigenador FPS 20","Cutis normal a seco","50 g e 1.7 oz.","50 g","1.7 oz.","1.7 oz.","","","Crema Facial Alta Hidratación Efecto Oxigenador FPS 20","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200087162","Concentré Total","Concentrado Global para Rostro en Crema*","LB CONCE TO CR TRIAL 4 G","4 g e .14 oz.","4 g",".14 oz.",".14 oz.","","","Concentrado Global para Rostro en Crema*","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200090659","","Marcha Blanca","Marcha Blanca","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","200091015","Lederm Noche 35+","Tratamiento Facial contra los Primeros Signos de la Edad Crema Noche","LB LEDERM TRIA 35 NOCHE 5 ML","5 ml e .16 fl. oz.","5 ml",".16 fl. oz.",".16 fl. oz.","","","LB LEDERM TRIA 35 NOCHE 5 ML","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091017","Lederm Día 55+","Tratamiento Facial contra Signos Avanzados de la Edad Crema Día FPS 15","LB LEDERM TRIA 55 DÃA 5 ML","5 ml e .16 fl. oz.","5 ml",".16 fl. oz.",".16 fl. oz.","","","LB LEDERM TRIA 55 DÃA 5 ML","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091018","Lederm Noche 55+","Tratamiento Facial contra Signos Avanzados de la Edad Crema Noche","LB LEDERM TRIA 55 NOCHE 5 ML","5 ml e .16 fl. oz.","5 ml",".16 fl. oz.",".16 fl. oz.","","","LB LEDERM TRIA 55 NOCHE 5 ML","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200091724","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","claire","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091725","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","medium","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091726","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","canelle","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091728","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","claire","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091729","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","medium","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091730","bb cream","Crema facial hidratante con color FPS 25 multibeneficios","canelle","25 g/ 0.88 oz.","","","","con tecnología que protege de la luz de aparatos electrónicos","","cy","","CYZONE PAISES","","","","","con tecnología que protege de la luz de aparatos electrónicos","","con tecnología que protege de la luz de aparatos electrónicos","","","","","","","","",""
"Comunicaciones","200091926","Concentré Total Ojos","Concentrado Global para Ojos en Crema Gel","LB CCC CONCENTRE OJOS 15ML","15 g e .52 oz.","15 ml",".50 fl. oz.",".50 fl. oz.","","","Concentrado Global para Ojos en Crema Gel","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200090904","Kit CC Cream + Nocturne Sérum","""""""""""""""Incluye: CC Cream (5 g""""""",""""""" tono Medium), Nocturne Sérum (5 ml), 2 en 1 Limpiadora y Tónica (45 ml), estuche y cartilla informativa.""""""""""""""","LB KIT CC+NOCTU+MCELAR PA 3UN","","","","","","","","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200081421","Prevención Caída","Acondicionador con perfume fino","Acondicionador","350 ml / 11,8 fl.oz.","","ESIKA COLOMBIA","","","","Ésens","0","ESIKA COLOMBIA","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200088471","Ligne Experte Alissant","Tratamiento Alisante Intensivo para el Cabello","LB EXL ALI SUERO LISO 50 ML FM","50 ml e 1.6 fl. oz.","50 ml","1.6 fl. oz.","1.6 fl. oz.","","","Tratamiento Alisante Intensivo para el Cabello","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200082664","Mañanas felices","Shampoo nutritivo y humectante miel y avena","Shampoo nutritivo y humectante miel y avena","450 ml / 15,2 fl.oz.","","","","","","Agú","","ESIKA MEXICO","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200083898","Sueños de amor","Shampoo relajante lavanda y jazmín","Shampoo relajante lavanda y jazmín","95 ml / 3,21 fl.oz.","","","","","","Agú","","ESIKA COLOMBIA","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200083899","Sueños de amor","Shampoo relajante lavanda y jazmín","Shampoo relajante lavanda y jazmín","95 ml / 3,21 fl.oz.","","","","","","Upa","","ESIKA GUATEMALA","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200084048","Mañanas felices","Shampoo brillo manzanilla y algodón","Shampoo brillo manzanilla y algodón","95 ml / 3,21 fl.oz.","","","","","","Upa","","ESIKA GUATEMALA","CUIDADO PERSONAL","","","","","","","","","","","","","","",""
"Comunicaciones","200084815","Fortalecimiento y Prevención Caída","Alviento Shampoo 3 en 1","ES ALVI SH 3EN1 FORTA CC 1L","1 litro / 33,7 fl.oz.","","ESIKA PAISES","","MAQUILLAJE","","Natural Care","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200085860","Paragelix","Gel","Paragelix","80 g / 2.8 oz.","","","","","","Comando Force","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200072279","Dermo Clarité Día","Loción Facial Aclaradora Hidratante para Rostro FPS 30","LB DERMO CLARITÉ DIA 30 ML","30 ml e 1 fl. oz.","30 ml","1 fl. oz.","1 fl. oz.","","","Loción Facial Aclaradora Hidratante para Rostro FPS 30","0","LBEL COLOMBIA","","","","","","","","","","","","","","","",""
"Comunicaciones","200086900","Dermo Clarité Noche","Suero Aclarador e Iluminador para Rostro","LB DERM CLARITÉ NOCHE 30ML FM","30 ml e 1 fl. oz.","30 ml","1 fl. oz.","1 fl. oz.","","","Suero Aclarador e Iluminador para Rostro","0","LBEL PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","200072747","ready to go","Polvos compactos para rostro","catch the sun","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE COLOMBIA","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200072748","ready to go","Polvos compactos para rostro","summer down","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE COLOMBIA","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200072749","ready to go","Polvos compactos para rostro","desert rose","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE COLOMBIA","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200072750","ready to go","Polvos compactos para rostro","dust to dust","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE COLOMBIA","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200077013","in control","Base de maquillaje correctora de imperfecciones* FPS 20 +UVA (amplio espectro UVA Y UVB)","beige control","25 g / 0.88 oz.","","","","cubre y combate las imperfecciones* en tu rostro","","cy","","CYZONE COLOMBIA","","","","","cubre y combate las imperfecciones* en tu rostro","","cubre y combate las imperfecciones* en tu rostro","","","","","","","","",""
"Comunicaciones","200077014","in control","Base de maquillaje correctora de imperfecciones* FPS 20 +UVA (amplio espectro UVA Y UVB)","bronze control","25 g / 0.88 oz.","","","","cubre y combate las imperfecciones* en tu rostro","","cy","","CYZONE COLOMBIA","","","","","cubre y combate las imperfecciones* en tu rostro","","cubre y combate las imperfecciones* en tu rostro","","","","","","","","",""
"Comunicaciones","200077015","in control","Base de maquillaje correctora de imperfecciones* FPS 20 +UVA (amplio espectro UVA Y UVB)","cocoa control","25 g / 0.88 oz.","","","","cubre y combate las imperfecciones* en tu rostro","","cy","","CYZONE COLOMBIA","","","","","cubre y combate las imperfecciones* en tu rostro","","cubre y combate las imperfecciones* en tu rostro","","","","","","","","",""
"Comunicaciones","200077012","in control","Base de maquillaje correctora de imperfecciones* FPS 20 +UVA (amplio espectro UVA Y UVB)","nude control","25 g / 0.88 oz.","","","","cubre y combate las imperfecciones* en tu rostro","","cy","","CYZONE COLOMBIA","","","","","cubre y combate las imperfecciones* en tu rostro","","cubre y combate las imperfecciones* en tu rostro","","","","","","","","",""
"Comunicaciones","200084484","","Base de alta cobertura para el rostro FPS 20 + UVA","light 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084485","","Base de alta cobertura para el rostro FPS 20 + UVA","light 2","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084486","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084487","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 2","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084488","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 3","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084489","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 4","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084490","","Base de alta cobertura para el rostro FPS 20 + UVA","obscure 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200084493","","Corrector facial de alta cobertura","light","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200084494","","Corrector facial de alta cobertura","medium","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200084495","","Corrector facial de alta cobertura","obscure","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200085379","","Base de alta cobertura para el rostro FPS 20 + UVA","light 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085380","","Base de alta cobertura para el rostro FPS 20 + UVA","light 2","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085381","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085382","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 2","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085383","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 3","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085384","","Base de alta cobertura para el rostro FPS 20 + UVA","medium 4","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085385","","Base de alta cobertura para el rostro FPS 20 + UVA","obscure 1","30 g","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","studio look","","CYZONE PAISES","","","","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","acabado natural que no tapa los poros / efecto antiflash de larga duración","","","","","","","","",""
"Comunicaciones","200085387","","Polvos compactos de alta cobertura con FPS 20+ UVA","light 1","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085388","","Polvos compactos de alta cobertura con FPS 20+ UVA","light 2","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085389","","Polvos compactos de alta cobertura con FPS 20+ UVA","medium 1","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085390","","Polvos compactos de alta cobertura con FPS 20+ UVA","medium 2","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085391","","Polvos compactos de alta cobertura con FPS 20+ UVA","medium 3","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085392","","Polvos compactos de alta cobertura con FPS 20+ UVA","medium 4","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085393","","Polvos compactos de alta cobertura con FPS 20+ UVA","obscure 1","7 g","","","","controla el brilllo con efecto antiflash y larga duración","","studio look","","CYZONE PAISES","","","","","controla el brilllo con efecto antiflash y larga duración","","controla el brilllo con efecto antiflash y larga duración","","","","","","","","",""
"Comunicaciones","200085772","cheek-a-chic","Rubor compacto para rostro","pinkiss","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200085773","cheek-a-chic","Rubor compacto para rostro","cheekie","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200085774","cheek-a-chic","Rubor compacto para rostro","blushie","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200085775","cheek-a-chic","Rubor compacto para rostro","fever","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200085776","undercover","Polvo compacto translúcido para cutis graso","CZ POLV UNDERCOVER FM","8 g / .28 oz.","","","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","cy","","CYZONE PAISES","","","","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","","","","","","","",""
"Comunicaciones","200086258","","Corrector facial de alta cobertura","light","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200086259","","Corrector facial de alta cobertura","medium","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200086260","","Corrector facial de alta cobertura","obscure","4 g","","","","disminuye apariencia de imperfecciones y ojeras","","studio look","","CYZONE PAISES","","","","","disminuye apariencia de imperfecciones y ojeras","","disminuye apariencia de imperfecciones y ojeras","","","","","","","","",""
"Comunicaciones","200087251","cheek-a-chic","Rubor compacto para rostro","pinkiss","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200087252","cheek-a-chic","Rubor compacto para rostro","cheekie","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200087253","cheek-a-chic","Rubor compacto para rostro","blushie","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200087254","cheek-a-chic","Rubor compacto para rostro","fever","4.8 g / 0.16 oz.","","","","con acabado mate","","cy","","CYZONE PAISES","","","","","con acabado mate","","con acabado mate","","","","","","","","",""
"Comunicaciones","200087271","ready to go","Polvos compactos para rostro","catch the sun","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE PAISES","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200087272","ready to go","Polvos compactos para rostro","summer down","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE PAISES","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200087273","ready to go","Polvos compactos para rostro","desert rose","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE PAISES","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200087274","ready to go","Polvos compactos para rostro","dust to dust","4 g / .14 oz.","","","","acabado natural","","cy","","CYZONE PAISES","","","","","acabado natural","","acabado natural","","","","","","","","",""
"Comunicaciones","200087605","undercover","Polvo compacto translúcido para cutis graso","CZ POLV UNDERCOVER FM","8 g / .28 oz.","","","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","cy","","CYZONE PAISES","","","","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","elimina brillo y ayuda a cubrir rojeces e imperfecciones*","","","","","","","","",""
"Comunicaciones","200091367","glow up","Iluminador facial textura ligera","rose","20 g / 0.70 oz.","","","","da luminosidad y brillo","","cy","","CYZONE PAISES","","","","","da luminosidad y brillo","","da luminosidad y brillo","","","","","","","","",""
