"grupodeatributos","codsap","desnombrefantasiacatalogo","desnombreelementocatalogo","desnombrearticulocatalogo","descapacidadcatalogo","descapacidadcatalogo001","descapacidadcatalogo002","destallamedidacatalogo","desbeneficiosslogancatalogo","desfamiliaolfativacatalogo","desnombrelineacatalogo","descomentarioscatalogo","desmaestrocatalogo","destipoproductocatalogo","deshistoriaolfativatextoaprobado","desmodousotextoaprobado","destecnologiatextoaprobado","desbeneficioprincipal","desdisclaimerbeneficioprincipal","desbeneficiosecundario001","desdisclaimersecundario001","desbeneficiosecundario002","desdisclaimersecundario002","desbeneficiosecundario003","desdisclaimersecundario003","desbeneficiosecundario004","desdisclaimersecundario004","desbeneficiosecundario005","desdisclaimersecundario005"
"Comunicaciones","210082938","ESIKA ACC CAREY SUN DAM LENTE","ESIKA ACC CAREY SUN DAM LENTE","ESIKA ACC CAREY SUN DAM LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC CAREY SUN DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210082939","ESIKA ACC HAYEK DAM LENTE","ESIKA ACC HAYEK DAM LENTE","ESIKA ACC HAYEK DAM LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC HAYEK DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210082942","LENTES CONFIDENT","ESIKA ACC CONFIDENT CAB LENTE","ESIKA ACC CONFIDENT CAB LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC CONFIDENT CAB LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210083959","LENTES CAREY GLASS","ESIKA ACC CAREY GLASS  DAM LEN","ESIKA ACC CAREY GLASS  DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC CAREY GLASS  DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210083960","LENTES NUDE MIRAGE","ESIKA ACC NUDE MIRAGE DAM LEN","ESIKA ACC NUDE MIRAGE DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC NUDE MIRAGE DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210083961","LENTES ROSE VIEW","ESIKA ACC ROSE VIEW  DAM LEN","ESIKA ACC ROSE VIEW  DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC ROSE VIEW  DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210083963","LENTES BROWN CLUB","ESIKA ACC BROWN CLUB CAB LEN","ESIKA ACC BROWN CLUB CAB LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC BROWN CLUB CAB LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084396","ESIKA ACC LAZER FUN NINOS LEN","ESIKA ACC LAZER FUN NINOS LEN","ESIKA ACC LAZER FUN NINOS LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC LAZER FUN NINOS LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084397","ESIKA ACC PURPLE FUN NINAS LEN","ESIKA ACC PURPLE FUN NINAS LEN","ESIKA ACC PURPLE FUN NINAS LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC PURPLE FUN NINAS LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084449","","Lentes hip brow","CYZONE HIP BROW LENTE","","","","Marco de metal (brass). Lunas y brazos de plástico.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084450","","Lentes fast forward","CYZONE FAST FORWARD LENTE","","","","Marco, brazos y lunas de plástico. Medidas aprox. Marco: 14.5 x 5.2 cm / 5.7 x 2” , Brazos: 13 cm / 5.1”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084451","","Lentes carey trip","CYZONE CAREY TRIP LENTE","","","","Lentes con marco y brazos de pvc tipo carey. Lunas de acrílico espejadas con protección UV400.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084527","ESIKA AC BLUE SUMME LENTE","ESIKA AC BLUE SUMME LENTE","ESIKA AC BLUE SUMME LENTE","","","ESIKA PAISES","","LENTES","","ESIKA AC BLUE SUMME LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084711","LENTES TRAZIO","ESIKA ACC TRAZIO CAB LEN","ESIKA ACC TRAZIO CAB LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC TRAZIO CAB LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084867","LENTES ANGELINA","ESIKA ACC ANGELINA DAM LEN","ESIKA ACC ANGELINA DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC ANGELINA DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084868","LENTES IVANA","ESIKA ACC IVANA DAM LEN","ESIKA ACC IVANA DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC IVANA DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084871","LENTES RAZER","ESIKA ACC RAZER CAB LEN","ESIKA ACC RAZER CAB LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC RAZER CAB LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210084872","LENTES DACIO","ESIKA ACC DACIO CAB LEN","ESIKA ACC DACIO CAB LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC DACIO CAB LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085040","LENTES GOLDENWAVE","ESIKA ACC GOLDENWAVE DAM LENTE","ESIKA ACC GOLDENWAVE DAM LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC GOLDENWAVE DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085527","","Lentes first call","CYZONE FIRST CALL LENTE","","","","Marco y brazos de plástico con efecto carey. Lunas de acrílico oscuras con protección UV400. Medidas: Marco: 16 cm /6.3”, Brazos: 14.5 cm / 5.7”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085528","","Lentes color dúo","CYZONE COLOR DUO LENTE","","","","Marco y brazos de plástico a dos colores. Lunas de acrílico con efecto degradé y protección UV400. Medidas: 13.5 cm / 5.3”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085529","","Lentes rainbow me","CYZONE RAINBOW ME LENTE","","","","Marco de metal con baño dorado. Brazos de metal con baño dorado y protector de oreja. Lunas espejadas con efecto arcoíris y protección UV400. Medidas: Marco: 13.5 cm / 5.3”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085530","","Lentes finding ways","CYZONE FINDING WAYS LENTE","","","","Marco de plástico con pieza de metal dorado y brazos de plástico. Lunas con efecto degradé con protección UV400. Medidas: Marco: 14 cm / 5.5”, Brazos: 14 cm / 5.5”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085880","LENTES DREAM LIGHTS","ESIKA ACC DREAM LIGHTS DAM LEN","ESIKA ACC DREAM LIGHTS DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC DREAM LIGHTS DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085882","LENTES RETRO NUDE","ESIKA ACC RETRO NUDE DAM LENTE","ESIKA ACC RETRO NUDE DAM LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC RETRO NUDE DAM LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085883","LENTES TRAFALGAR","ESIKA ACC TRAFALGAR CAB LENTE","ESIKA ACC TRAFALGAR CAB LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC TRAFALGAR CAB LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210085885","LENTES HATMANN","ESIKA ACC HATMANN CAB LENTE","ESIKA ACC HATMANN CAB LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC HATMANN CAB LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086117","LENTES THORY","ESIKA ACC THORY DAM LEN","ESIKA ACC THORY DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC THORY DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086257","LENTES SIRANI","ESIKA ACC SIRANI DAM LEN","ESIKA ACC SIRANI DAM LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC SIRANI DAM LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086258","LENTES FACTORY","ESIKA ACC FACTORY CAB LEN","ESIKA ACC FACTORY CAB LEN","","","ESIKA PAISES","","LENTES","","ESIKA ACC FACTORY CAB LEN","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086352","","Lentes citywalk","CYZONE CITYWALK LENTE","","","","Marco de metal y plástico. Brazos de metal con baño oro rosado y protector de oreja. Lunas con efecto degradé y protección UV400. Medidas: Marco: 14.3 cm / 5.6”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086353","","Lentes bold boy","lentes bold boy","","","","Marco y brazos de plástico. Lunas en degradé con protección UV400. Medidas: Marco: 14.2 cm / 5.6”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086354","","Lentes darkie","lentes darkie","","","","Marco y brazos de plástico. Lunas con protección UV400. Medidas: Marco: 14.3 cm / 5.6”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086767","LENTES MONTMARTRE","ESIKA ACC MONTMARTRE LENTE","ESIKA ACC MONTMARTRE LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC MONTMARTRE LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086769","LENTES CLOONEY","ESIKA ACC CLOONEY LENTE","ESIKA ACC CLOONEY LENTE","","","ESIKA PAISES","","LENTES","","ESIKA ACC CLOONEY LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086770","LENTES METAL EYES","ESIKA ACC METAL EYES LENTE","ESIKA ACC METAL EYES LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC METAL EYES LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086771","LENTES SAINT PIERRE","ESIKA ACC SAINT PIERRE LENTE","ESIKA ACC SAINT PIERRE LENTE","","","ESIKA PAISES","Con marco y brazos de metal dorado, con protector de nariz transparente. Lunas negras en degradé.","MAQUILLAJE","","LENTES SAINT PIERRE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086772","LENTES CALIFORNIA SUN","ESIKA ACC CALIFORNIA SUN LENTE","ESIKA ACC CALIFORNIA SUN LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC CALIFORNIA SUN LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086773","LENTES METALLIC SUN","ESIKA ACC METALLIC SUN LENTE","ESIKA ACC METALLIC SUN LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC METALLIC SUN LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210086774","LENTES WINGS FORCE","ESIKA ACC WINGS FORCE LENTE","ESIKA ACC WINGS FORCE LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC WINGS FORCE LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087325","","Lentes rich & famous","CYZONE RICH FAMOUS LENTE","","","","Marco de plástico y metal. Brazos de plástico. Lunas con efecto degradé y protección UV400. Medidas: Marco: 14.3 cm / 5.6”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087326","","Lentes silver wing","CYZONE SILVER WINGS LENTE","","","","Marco y brazos de metal. Lunas espejadas con protección UV400. Medidas: Marco: 14 cm / 5.5”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087334","","Lentes moon style","CYZONE MOON STYLE LENTE","","","","Marco de plástico y metal. Brazos de plástico. Lunas con protección UV400. Medidas: 13.5 cm / 5.3”.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087335","","Lentes vibres","CYZONE VIBRES LENTE","","","","Marco y brazos de metal. Lunas con efecto espejado y protección UV400. Medidas aprox.: 14.4 cm / 56.7”.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087336","","Lentes vintage look","CYZONE VINTAGE LOOK LENTE","","","","Marco y brazos de plástico. Lunas con efecto degradé y protección UV400. Medidas aprox.: 14 cm / 5.5”.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087337","","Lentes geometri","CYZONE GEOMETRI LENTE","","","","Marco de metal y brazos de plástico. Lunas con efecto espejado y protección UV400. Medidas: 13 cm / 5.1”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087339","","Lentes cristal gold","CYZONE CRISTAL GOLD LENTE","","","","Marco de metal y brazos de plástico. Lunas en degradé con efecto espejado y protección UV400. Medidas: 14 cm / 5.5”.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087430","LENTES ROSE GLAMOUR","ESIKA ACC ROSE GLAMOUR LENTE","ESIKA ACC ROSE GLAMOUR LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC ROSE GLAMOUR LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087432","LENTES RETRO DIVA","ESIKA ACC RETRO DIVA LENTE","ESIKA ACC RETRO DIVA LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC RETRO DIVA LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087433","LENTES TANGER","ESIKA ACC TANGER LENTE","ESIKA ACC TANGER LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC TANGER LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087434","LENTES LINDBERGH","ESIKA ACC LINDBERGH LENTE","ESIKA ACC LINDBERGH LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC LINDBERGH LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087435","LENTES BAUHAUS","ESIKA ACC BAUHAUS LENTE","ESIKA ACC BAUHAUS LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC BAUHAUS LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087436","LENTES JACKIE","ESIKA ACC JACKIE LENTE","ESIKA ACC JACKIE LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC JACKIE LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087437","LENTES SUNSHINE LOOK","ESIKA ACC SUNSHINE LOOK LENTE","ESIKA ACC SUNSHINE LOOK LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC SUNSHINE LOOK LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087439","LENTES COLOMBUS","ESIKA ACC COLOMBUS LENTE","ESIKA ACC COLOMBUS LENTE","","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC COLOMBUS LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087869","LENTES CENIT","ESIKA ACC CENIT LENTE","ESIKA ACC CENIT LENTE","","","ESIKA PAISES","","","","ESIKA ACC CENIT LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087910","LENTES SEA FUN","ESIKA ACC SEA FUN LENTE","ESIKA ACC SEA FUN LENTE","","","ESIKA PAISES","","","","ESIKA ACC SEA FUN LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087911","LENTES PETIT DOUX","ESIKA ACC PETIT DOUX LENTE","ESIKA ACC PETIT DOUX LENTE","","","ESIKA PAISES","","ACCESORIOS","","ESIKA ACC PETIT DOUX LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087995","","Lentes the city","CYZONE THE CITY LENTE","","","","En metal y plástico, lunas con degradé. Medidas aprox.: 13.6 cm / 5.4”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087997","","Lentes silvery look","CYZONE SILVERY LOOK LENTE","","","","En metal con baño negro y brazos en metal dorados. Lunas semi espejadas. Medidas aprox.: 14 cm / 5.5”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210087998","","Lentes provocative","CYZONE PROVOCATIVE LENTE","","","","En metal. Medidas aprox.: 14.2 cm / 5.6”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088348","LENTES URBANNE","ESIKA ACC URBANNE LENTES","ESIKA ACC URBANNE LENTES","","","ESIKA PAISES","","","","ESIKA ACC URBANNE LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088349","LENTES METAL GLAM","ESIKA ACC METAL GLAM LENTES","ESIKA ACC METAL GLAM LENTES","","","ESIKA PAISES","","","","ESIKA ACC METAL GLAM LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088350","LENTES MISTIK SHADE","ESIKA ACC MISTIK SHADE LENTES","ESIKA ACC MISTIK SHADE LENTES","","","ESIKA PAISES","","","","ESIKA ACC MISTIK SHADE LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088351","LENTES BELLEZZA GOLD","ESIKA ACC BELLEZZA GOLD LENTES","ESIKA ACC BELLEZZA GOLD LENTES","","","ESIKA PAISES","","","","ESIKA ACC BELLEZZA GOLD LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088352","LENTES DARK SHADES","ESIKA ACC DARK SHADES LENTES","ESIKA ACC DARK SHADES LENTES","","","ESIKA PAISES","","","","ESIKA ACC DARK SHADES LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088354","LENTES SIGNATURE","ESIKA ACC SIGNATURE LENTES","ESIKA ACC SIGNATURE LENTES","Marco de metal plateado y brazos con textura intercalada. Lunas en degradé negro.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088355","LENTES BALLENTINES","ESIKA ACC BALLENTINES LENTES","ESIKA ACC BALLENTINES LENTES","","","ESIKA PAISES","","","","ESIKA ACC BALLENTINES LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088389","LENTES BROWN CROWN","ES BROWN CROWN LENTES","ES BROWN CROWN LENTES","","","ESIKA PAISES","","","","ES BROWN CROWN LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088451","LENTES JET BLACK","ES JET BLACK LENTES","ES JET BLACK LENTES","","","ESIKA PAISES","","ACCESORIOS","","ES JET BLACK LENTES","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088877","","Lentes summer season","CYZONE SUMMER SEASON LENTE","","","","En metal y plástico. Lunas con degradé. Medidas aprox.: 14.5 cm / 5.7”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088880","","Lentes bright look","CYZONE BRIGHT LOOK LENTE","","","","En metal y acrílico, lunas con degradé. Medidas: 14 cm / 5.5”","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088976","LENTES BLUE SESSIONS","ESIKA ACC BLUE SESSIONS LENTE","ESIKA ACC BLUE SESSIONS LENTE","Marco y brazos de metal en tono oro rosado y protector de orejas en negro. Lunas en degradé de azul a gris.","","ESIKA PAISES","","ACCESORIOS","","ESIKA ACC BLUE SESSIONS LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088977","LENTES BLACK LIGHT","ESIKA ACC BLACK LIGHT LENTE","ESIKA ACC BLACK LIGHT LENTE","Marco y brazos con acabado tipo carey y accesorios de metal dorado en los brazos. Lunas en degradé marrón.","","ESIKA PAISES","","MAQUILLAJE","","ESIKA ACC BLACK LIGHT LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088978","LENTES BROWN SUNSET","ESIKA ACC BROWN SUNSET LENTE","ESIKA ACC BROWN SUNSET LENTE","Marco de metal dorado con detalles en color negro en la parte inferior del marco y 6 cristales en cada costado. Lunas marrones en degradé.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088979","LENTES ZOÉ","ESIKA ACC ZOE LENTE","ESIKA ACC ZOE LENTE","Marco de metal dorado con plástico en acabado mate en los bordes de las lunas. Brazos de color negro con acabado mate. Lunas oscuras.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088980","LENTES SUNSHINE MOOD","ESIKA ACC SUNSHINE MOOD LENTE","ESIKA ACC SUNSHINE MOOD LENTE","Marco de metal dorado y parte inferior de la luna al descubierto. Con brazos en metal dorado y lunas marrones en degradé.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088981","LENTES CAT STYLE","ESIKA ACC CAT STYLE LENTE","ESIKA ACC CAT STYLE LENTE","","","ESIKA PAISES","","ACCESORIOS","","ESIKA ACC CAT STYLE LENTE","0","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088982","LENTES TOP GUN","ESIKA ACC TOP GUN LENTE","ESIKA ACC TOP GUN LENTE","Marco de metal en baño hematite, brazos con epóxico color azul y lunas en degradé gris.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210088983","LENTES BLACK SHADES","ESIKA ACC BLACK SHADES LENTE","ESIKA ACC BLACK SHADES LENTE","Marco y brazos con acabado mate negro. Brazos con impresión en rojo en la parte superior. Lunas oscuras.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210089796","","Lentes hidden look","CYZONE HIDDEN LOOK LENTES","","","","En metal y acrílico, lunas con degradé. Medidas aprox.: 12.5 cm.","","","","","CYZONE PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210089810","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comunicaciones","210089811","LENTES CALLIOPE","ESIKA ACC CALLIOPE LENTE","ESIKA ACC CALLIOPE LENTE","Marco y brazos de metal en tono oro rosado con aplicación de color nude en la parte superior del marco. Lunas oscuras.","","","","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
"Comunicaciones","210089812","LENTES SOELLÉ","ESIKA ACC SOELLE LENTE","ESIKA ACC SOELLE LENTE","Marco y brazos de policarbonato negro con doble puente de metal dorado. Lunas en degradé negro.","","","Marco y brazos de policarbonato negro con doble puente de metal dorado. Lunas en degradé negro.","","","","","ESIKA PAISES","","","","","","","","","","","","","","","",""
